frame,Left Shoulder_x,Left Shoulder_y,Left Shoulder_conf,Right Shoulder_x,Right Shoulder_y,Right Shoulder_conf,Left Elbow_x,Left Elbow_y,Left Elbow_conf,Right Elbow_x,Right Elbow_y,Right Elbow_conf
16,0.465120267868042,0.31758444044325085,0.999092698097229,0.6772677898406982,0.3278003692626953,0.9983214735984802,0.354621434211731,0.34047283596462674,0.9958565831184387,0.7880674362182617,0.36044671800401473,0.9733996391296387
17,0.46533632278442383,0.3170838673909505,0.9988687634468079,0.674264669418335,0.3247829861111111,0.9979544878005981,0.3558143138885498,0.32692866855197483,0.9942278861999512,0.7804009437561035,0.3411382887098524,0.9701789617538452
18,0.46545119285583497,0.31611527336968315,0.9987927675247192,0.6749413967132568,0.3218249850802951,0.9973813891410828,0.36003885269165037,0.31986109415690106,0.9943625926971436,0.7740856170654297,0.328059811062283,0.9646052718162537
19,0.46457681655883787,0.3110944959852431,0.9987025260925293,0.6727915287017823,0.3222540961371528,0.9978083968162537,0.3607634544372559,0.3101652357313368,0.9936834573745728,0.7819658279418945,0.31933909522162546,0.9702023267745972
20,0.46452670097351073,0.3090455161200629,0.9986262321472168,0.6719764709472656,0.32134037017822265,0.9979706406593323,0.35793914794921877,0.3036012649536133,0.9938448667526245,0.7889956474304199,0.3098291397094727,0.969551146030426
21,0.4647947311401367,0.30809997982449,0.9986993074417114,0.6684681892395019,0.3221428129408095,0.9981873631477356,0.35850837230682375,0.2944539811876085,0.9940768480300903,0.7913516998291016,0.30126997629801433,0.9726224541664124
22,0.46587610244750977,0.30596563551161027,0.9986382126808167,0.6704999923706054,0.3216981675889757,0.998306393623352,0.3616164684295654,0.28814029693603516,0.9931690692901611,0.7863625526428223,0.29806959364149305,0.9741767644882202
23,0.46701774597167967,0.3038588629828559,0.9987351298332214,0.6703409194946289,0.3211029052734375,0.9984890222549438,0.3635803937911987,0.28922080993652344,0.9945386052131653,0.7934932231903076,0.2962738460964627,0.9786009192466736
24,0.464387321472168,0.3048743142022027,0.9986065030097961,0.6711549758911133,0.32079238891601564,0.9984082579612732,0.35770015716552733,0.28470211029052733,0.9927090406417847,0.7891111850738526,0.2985938178168403,0.9769760966300964
25,0.462396240234375,0.30462074279785156,0.9985989928245544,0.6701804161071777,0.3216682857937283,0.9984681010246277,0.3541883945465088,0.2849503835042318,0.9921265840530396,0.7947779655456543,0.2980735354953342,0.977840006351471
26,0.46204361915588377,0.30537255605061847,0.9984723925590515,0.6715253353118896,0.3238782246907552,0.9986283779144287,0.34885549545288086,0.2825377146402995,0.9906298518180847,0.804560375213623,0.29621090359157987,0.9795359969139099
27,0.46138567924499513,0.30648040771484375,0.9987308382987976,0.672050952911377,0.325530030992296,0.9984795451164246,0.34414713382720946,0.28626721700032554,0.9938274025917053,0.8058317184448243,0.30375849405924477,0.9775386452674866
